,time,Air0min,Air0max,T_RDC_PV,Air1min,Air1max,T_1ER_PV,T_Ext_PV,Cloud,T_Depart_PV,EV_3Voies,EV_RDC,EV_1ER,RayM0,RayF0,RayM1,RayF1,date,yday,total_sec,cyclic_yday_cos,cyclic_yday_sin,cyclic_sec_cos,cyclic_sec_sin
2587,1677020433000000000,-0.3741496145361152,-1.4676441395910456,-0.32101910421366747,16.5,16.5,18.0,0.23193903798792315,-0.1906150095983376,12.5,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-02-22 00:00:33,53,33.0,0.6118864012687244,0.7909456567567772,0.9999971204148356,0.0023998254179889928
2588,1677021334000000000,-0.3741496145361152,-1.4676441395910456,-0.32101910421366747,16.5,16.5,18.0,0.23193903798792315,-0.1906150095983376,12.5,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-02-22 00:15:34,53,934.0,0.6118864012687244,0.7909456567567772,0.9976941607061018,0.06787018265002025
2589,1677022234000000000,-0.3741496145361152,-1.4676441395910456,-0.32101910421366747,16.5,16.5,18.0,0.23193903798792315,-0.12898052935877888,12.5,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-02-22 00:30:34,53,1834.0,0.6118864012687244,0.7909456567567772,0.9911190985969003,0.13297718750397683
2590,1677023134000000000,-0.3741496145361152,-1.4676441395910456,-0.32101910421366747,16.5,16.5,18.0,0.23193903798792315,-0.12898052935877888,12.5,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-02-22 00:45:34,53,2734.0,0.6118864012687244,0.7909456567567772,0.9802999123481347,0.19751476362601217
2591,1677024034000000000,-0.3741496145361152,-1.4676441395910456,-0.32101910421366747,16.5,16.5,18.0,0.035091218950162706,-0.12898052935877888,12.5,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-02-22 01:00:34,53,3634.0,0.6118864012687244,0.7909456567567772,0.9652829313763138,0.26120655120718284
2592,1677024935000000000,-0.3741496145361152,-1.4676441395910456,-0.32101910421366747,16.5,16.5,18.0,0.035091218950162706,0.11755739159945608,12.5,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-02-22 01:15:35,53,4535.0,0.6118864012687244,0.7909456567567772,0.9461089122652236,0.32384861607287335
2593,1677025836000000000,-0.3741496145361152,-1.4676441395910456,-0.32101910421366747,16.5,16.5,18.0,0.035091218950162706,1.442698716749969,12.5,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-02-22 01:30:36,53,5436.0,0.6118864012687244,0.7909456567567772,0.9228745046891543,0.385100829127578
2594,1677026736000000000,-0.3741496145361152,-1.4676441395910456,-0.49165774576107096,16.5,16.5,17.5,0.035091218950162706,1.442698716749969,12.5,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-02-22 01:45:36,53,6336.0,0.6118864012687244,0.7909456567567772,0.8957117602394129,0.44463517918492745
2595,1677027636000000000,-0.3741496145361152,-1.4676441395910456,-0.49165774576107096,16.5,16.5,17.5,0.035091218950162706,1.442698716749969,12.5,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-02-22 02:00:36,53,7236.0,0.6118864012687244,0.7909456567567772,0.8647134405201551,0.5022655331433725
2596,1677028536000000000,-0.3741496145361152,-1.4676441395910456,-0.49165774576107096,16.5,16.5,17.5,0.035091218950162706,1.442698716749969,12.5,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-02-22 02:15:36,53,8136.0,0.6118864012687244,0.7909456567567772,0.8300122850953675,0.5577451089796901
2597,1677029436000000000,-0.3741496145361152,-1.4676441395910456,-0.49165774576107096,16.5,16.5,17.5,-0.16175660008759774,1.5967849173488657,12.5,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-02-22 02:30:36,53,9036.0,0.6118864012687244,0.7909456567567772,0.7917568896399974,0.6108363346327698
2598,1677030336000000000,-0.3741496145361152,-1.4676441395910456,-0.49165774576107096,16.5,16.5,17.5,-0.16175660008759774,1.5967849173488657,12.5,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-02-22 02:45:36,53,9936.0,0.6118864012687244,0.7909456567567772,0.7501110696304596,0.6613118653236518
2599,1677031236000000000,-0.3741496145361152,-1.4676441395910456,-0.49165774576107096,16.5,16.5,17.5,-0.16175660008759774,1.5967849173488657,12.5,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-02-22 03:00:36,53,10836.0,0.6118864012687244,0.7909456567567772,0.7052531588616178,0.7089555570807734
2600,1677032136000000000,-0.3741496145361152,-1.4676441395910456,-0.49165774576107096,16.5,16.5,17.5,-0.16175660008759774,1.5967849173488657,12.5,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-02-22 03:15:36,53,11736.0,0.6118864012687244,0.7909456567567772,0.6573752457940958,0.7535633923016378
2601,1677033036000000000,-0.3741496145361152,-1.4676441395910456,-0.49165774576107096,16.5,16.5,17.5,-0.16175660008759774,1.3194297562708515,12.5,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-02-22 03:30:36,53,12636.0,0.6118864012687244,0.7909456567567772,0.6066823510019997,0.79494435338751
